"Series","Name","Rate Card Name","Rate Card Filtered Name","Operating System","Rate Card Priority","Tier","Cores","Memory","Disk Count","OS Disk Size GB","Cache Disk Size GB","Cost Per Hour","Cost Per Month"
"Esv4 Series","Standard_E20s_v4","E20s_v4","E20s v4","Linux","Standard","Standard","20","160","32","1023","0","1.26","932.40"
"Ddsv4 Series","Standard_D32ds_v4","D32ds_v4_Low_Priority","D32ds v4","Linux","Low Priority","Low Priority","32","128","32","1023","1200","0.362","267.880"
"Ddv4 Series","Standard_D16d_v4","D16d_v4","D16d v4","Linux","Standard","Standard","16","64","32","1023","600","0.904","668.960"
"Edsv4 Series","Standard_E4ds_v4","E4ds_v4_Low_Priority","E4ds v4","Windows","Low Priority","Low Priority","4","32","8","1023","150","0.189","139.860"
"NVasv4 Series","Standard_NV4as_v4","NV4as_v4_Low_Priority","NV4as v4","Windows","Low Priority","Low Priority","4","14","8","1023","88","0.167","123.580"
"MS Series","Standard_M128ms","M128ms_Low_Priority","M128ms","Windows","Low Priority","Low Priority","128","3800","64","1023","4000","14.3256","10600.9440"
"Esv4 Series","Standard_E16-4s_v4","E16-4s_v4_Low_Priority","E16-4s v4","Windows","Low Priority","Low Priority","16","128","32","1023","0","0.698","516.520"
"NCasv3 T4 Series","Standard_NC4as_T4_v3","NC4as_T4_v3_Low_Priority","NC4as T4 v3","Linux","Low Priority","Low Priority","4","28","8","1023","176","0.105","77.700"
"Esv4 Series","Standard_E4-2s_v4","E4-2s_v4","E4-2s v4","Windows","Standard","Standard","4","32","8","1023","0","0.436","322.640"
"Esv4 Series","Standard_E16-4s_v4","E16-4s_v4_Low_Priority","E16-4s v4","Linux","Low Priority","Low Priority","16","128","32","1023","0","0.202","149.480"
"FSv2 Series","Standard_F72s_v2","F72s_v2_Low_Priority","F72s v2","Windows","Low Priority","Low Priority","72","144","32","1023","576","2.344","1734.560"
"Ev4 Series","Standard_E48_v4","E48_v4","E48 v4","Linux","Standard","Standard","48","384","32","1023","0","3.024","2237.760"
"Ddv4 Series","Standard_D4d_v4","D4d_v4","D4d v4","Windows","Standard","Standard","4","16","8","1023","150","0.41","303.40"
"Eav4/Easv4 Series","Standard_E32-16as_v4","E32-16as_v4_Low_Priority","E32-16as_v4","Linux","Low Priority","Low Priority","32","256","32","1023","512","0.403","298.220"
"FSv2 Series","Standard_F32s_v2","F32s_v2_Low_Priority","F32s v2","Windows","Low Priority","Low Priority","32","64","32","1023","256","1.042","771.080"
"Ddv4 Series","Standard_D2d_v4","D2d_v4_Low_Priority","D2d v4","Linux","Low Priority","Low Priority","2","8","4","1023","75","0.0226","16.7240"
"Edv4 Series","Standard_E64d_v4","E64d_v4","E64d v4","Linux","Standard","Standard","64","504","32","1023","2400","4.608","3409.920"
"FSv2 Series","Standard_F72s_v2","F72s_v2","F72s v2","Windows","Standard","Standard","72","144","32","1023","576","5.86","4336.40"
